year,unemployment_rate
2017,3.391666666666666
2018,3.3333333333333335
2019,3.3000000000000003
2020,4.483333333333333
2021,4.583333333333333
2022,3.8166666666666664
2023,3.4333333333333336
2024,3.2583333333333333
